alpha,beta,wer,cer,num_samples
0.01,0.0,0.1107308726472745,0.03769197228816433,200
0.01,0.5,0.11048643363480812,0.03759507775786057,200
0.01,1.0,0.11219750672207285,0.03788576134877186,200
0.01,1.5,0.1131752627719384,0.03793420861392374,200
0.05,0.0,0.11024199462234173,0.03764352502301245,200
0.05,0.5,0.11048643363480812,0.037546630492708684,200
0.05,1.0,0.11244194573453924,0.03783731408361998,200
0.05,1.5,0.1131752627719384,0.03793420861392374,200
0.1,0.0,0.1107308726472745,0.037740419553316217,200
0.1,0.5,0.10999755560987534,0.037498183227556804,200
0.1,1.0,0.1107308726472745,0.037546630492708684,200
0.1,1.5,0.11293082375947201,0.03788576134877186,200
0.5,0.0,0.11415301882180395,0.038224892204835034,200
0.5,0.5,0.11121975067220728,0.037740419553316217,200
0.5,1.0,0.11024199462234173,0.037498183227556804,200
0.5,1.5,0.1107308726472745,0.037546630492708684,200
1.0,0.0,0.11586409190906868,0.03856402306089821,200
1.0,0.5,0.11635296993400146,0.03861247032605009,200
1.0,1.0,0.11268638474700562,0.03793420861392374,200
1.0,1.5,0.11048643363480812,0.03769197228816433,200
2.0,0.0,0.13835248105597653,0.0418584370912262,200
2.0,0.5,0.12588609142019067,0.04030812460636597,200
2.0,1.0,0.12173062820826204,0.03972675742454339,200
2.0,1.5,0.11635296993400146,0.038806259386657625,200
5.0,0.0,0.49865558543143484,0.2490189428806744,200
5.0,0.5,0.43950134441456856,0.20493193159246162,200
5.0,1.0,0.38621363969689565,0.17334431471343442,200
5.0,1.5,0.3495477878269372,0.14669831887989923,200
